item_number,item_description,product_category,sheet_source,order,stock,price,has_pricing,has_stock_info
10348,KALA CHANA 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10354,KALVERT ROSE SYRUP  12X700ML,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10363,NAUGHTY TOMATOES 60X115G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10370,LG HING 20X50G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10371,LG HING LUMP(KHADA) 10X100G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10372,LIJJAT PUNJABI MASALA PAPAD 80X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10373,LIJJAT URAD (BLACK PEPPER) PAPAD 80X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10374,MASALA NOODLES 12X560G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10374,2M MASALA NOODLES 12X560G,Main Page,MAIN PAGE,,,,FALSE,FALSE
10375,MASALA NOODLES 24X280G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10378,VEG ATTA NOODLES 24X290G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10379,THE HOLY SRIRACHA HOT SAUCE 12X300G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10380,MADFLAMES FLAMING ORANGE CHILLI GARLIC SAUCE BOTTLE 8X180G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10394,MASOOR DAL 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10395,MASOOR WHOLE DESI 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10400,MOONG DAL 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10407,MOONG SPLIT 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10410,MOONG WHOLE BIG 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10423,MUSTARD SEED BIG 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10457,MINI SOYA CHUNK 60X200G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10458,SOYA CHUNK 60X220G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10462,PAPRIKA 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10481,PLASTIC 9 COMPARTMENT PLATE (INDIA) (25 PCS) 8/CS,Non-Food,NON-FOOD PRODUCTS,,20,96,TRUE,TRUE
10486,PINEAPPLE RING 44LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10487,PLASTIC BOWL 1000PC,Non-Food,NON-FOOD PRODUCTS,,1,65,TRUE,TRUE
10494,PRODUCE ROLL IB 12X20LLDPE,Supplies,SUPPLIES,,,,FALSE,FALSE
10495,RAW PEANUTS SPANISH/RUNNER 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10498,RED CHILLI POWDER  50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10501,RED FOOTBALL LENTILS 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10502,RED KIDNEY BEANS DARK 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10503,RED KIDNEY BEANS LIGHT 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10509,RED LABEL 6X1800G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10511,RICE FLOUR 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10515,ROASTED & SALTED PISTA  25LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10533,TAMICON PASTE 36X400G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10538,THUMS UP CAN 24X300ML,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10547,TOOR DAL OILY,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10548,TURMERIC POWDER 50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10550,URAD DAL (WHITE SPLIT) 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10551,URAD GOTA (WHITE) 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10555,URAD SPLIT (BLACK) 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10556,URAD WHOLE (BLACK) 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10562,WALNUT 22LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10563,SESAME SEED WHITE 50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10564,WHOLE WHEAT 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10565,WOODWARDS GRIPE WATER 90X130ML,Non-Food,NON-FOOD PRODUCTS,,33,90,TRUE,TRUE
10566,VATANA YELLOW 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10571,AASHIRVAAD WHOLE WHEAT ATTA 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10572,AASHIRVAAD WHOLE WHEAT ATTA 2X22LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10573,AASHIRVAAD MULTI GRAIN ATTA 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10590,CHINGS VEG HAKKA NOODLES 15X560G,Main Page,MAIN PAGE,,,,FALSE,FALSE
10590,VEG HAKKA NOODLES 15X560G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10594,CRACKED WHEAT #1 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10595,CRACKED WHEAT #2 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10596,CRACKED WHEAT #3 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10601,DALIA SPLIT 50/55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10602,DECCAN SONA MASOORI RICE 2X20LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10607,GM BAJRI FLOUR 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10608,GM BAJRI FLOUR 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10609,GM BARLEY FLOUR 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10610,GM BARLEY FLOUR 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10611,GM BAY LEAVES 20X100G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10612,GM RED CHILLI WHOLE STEMLESS BYADGI  20X200G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10614,GM LADOO (COARSE) WHEAT FLOUR 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10615,GM LADOO (COARSE) WHEAT FLOUR 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10616,GM CANOLA OIL 32.5L,Main Page,MAIN PAGE,,,,FALSE,FALSE
10616,CANOLA OIL 32.5L,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10618,GM RED CHILLI WHOLE STEMLESS 20X200G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10619,GM RED CHILLI WHOLE STEMLESS 20X400G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10621,GM CORIANDER SEED 20X400G,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
